date,fremont_bridge_nb,fremont_bridge_sb
2017-06-23T15:00:00.000,253,103
2017-06-02T18:00:00.000,375,124
2017-06-13T21:00:00.000,57,25
2017-06-29T22:00:00.000,63,35
2017-06-09T10:00:00.000,115,61
2017-06-30T12:00:00.000,155,81
2017-06-22T19:00:00.000,304,100
2017-06-04T14:00:00.000,188,88
2017-06-03T18:00:00.000,92,42
2017-06-11T02:00:00.000,2,2
2017-06-29T01:00:00.000,1,1
2017-06-24T15:00:00.000,202,80
2017-06-16T01:00:00.000,1,0
2017-06-18T00:00:00.000,22,11
2017-06-14T18:00:00.000,463,143
2017-01-06T02:00:00.000,0,0
2017-06-05T08:00:00.000,646,361
2017-06-24T10:00:00.000,182,101
2017-06-08T15:00:00.000,84,41
2017-01-25T03:00:00.000,0,0
2017-06-07T11:00:00.000,106,51
2017-06-29T14:00:00.000,122,59
2017-06-10T09:00:00.000,134,83
2017-06-26T00:00:00.000,10,3
2017-06-28T23:00:00.000,18,7
2017-06-29T13:00:00.000,140,63
2017-06-10T18:00:00.000,214,108
2017-06-21T20:00:00.000,179,69
2017-01-07T04:00:00.000,0,0
2017-06-05T20:00:00.000,137,56
2017-06-01T20:00:00.000,142,60
2017-06-02T19:00:00.000,197,84
2017-06-29T00:00:00.000,7,2
2017-06-18T14:00:00.000,164,81
2017-06-13T12:00:00.000,67,32
2017-06-25T02:00:00.000,8,4
2017-06-12T22:00:00.000,42,25
2017-06-25T05:00:00.000,12,9
2017-06-19T13:00:00.000,90,43
2017-06-26T04:00:00.000,2,1
2017-06-10T07:00:00.000,69,38
2017-06-09T02:00:00.000,0,0
2017-06-27T15:00:00.000,157,69
2017-06-13T14:00:00.000,90,35
2017-06-12T01:00:00.000,3,1
2017-06-25T07:00:00.000,73,39
2017-06-15T01:00:00.000,5,1
2017-06-18T15:00:00.000,136,70
2017-01-10T03:00:00.000,0,0
2017-06-19T14:00:00.000,98,46
2017-06-12T16:00:00.000,320,81
2017-06-10T06:00:00.000,26,13
2017-06-11T06:00:00.000,22,12
2017-06-14T17:00:00.000,754,184
2017-06-22T00:00:00.000,10,4
2017-06-14T07:00:00.000,487,286
2017-06-04T04:00:00.000,8,4
2017-06-07T12:00:00.000,97,49
2017-06-06T10:00:00.000,136,68
2017-01-07T03:00:00.000,0,0
2017-06-29T07:00:00.000,430,250
2017-06-24T21:00:00.000,69,27
2017-06-28T19:00:00.000,290,100
2017-01-20T02:00:00.000,0,0
2017-06-11T01:00:00.000,6,3
2017-06-20T05:00:00.000,44,30
2017-06-19T22:00:00.000,49,13
2017-06-19T03:00:00.000,3,1
2017-06-08T03:00:00.000,1,0
2017-06-17T06:00:00.000,32,15
2017-06-14T20:00:00.000,161,74
2017-06-15T20:00:00.000,45,12
2017-06-01T00:00:00.000,17,10
2017-06-07T20:00:00.000,172,85
2017-06-27T18:00:00.000,502,142
2017-06-19T02:00:00.000,1,0
2017-06-23T05:00:00.000,40,28
2015-11-08T02:00:00.000,0,0
2017-06-02T01:00:00.000,4,3
2017-06-29T05:00:00.000,53,36
2017-06-11T17:00:00.000,173,67
2017-06-08T16:00:00.000,203,61
2017-06-01T19:00:00.000,204,75
2017-06-19T09:00:00.000,284,130
2017-06-11T20:00:00.000,74,34
2017-06-21T18:00:00.000,483,134
2017-06-30T13:00:00.000,124,46
2017-06-24T22:00:00.000,39,19
2017-06-05T13:00:00.000,97,50
2017-06-12T20:00:00.000,109,51
2017-06-25T13:00:00.000,166,71
2017-06-13T23:00:00.000,18,5
2017-06-25T15:00:00.000,145,83
2017-06-27T13:00:00.000,94,49
2017-06-23T01:00:00.000,6,0
2017-06-30T10:00:00.000,157,76
2017-06-14T21:00:00.000,80,32
2017-06-28T08:00:00.000,599,343
2017-06-27T10:00:00.000,139,74
2017-06-02T13:00:00.000,117,47
2017-06-24T19:00:00.000,101,41
2017-06-20T14:00:00.000,76,22
2017-06-18T12:00:00.000,130,55
2017-06-03T08:00:00.000,113,64
2017-06-16T00:00:00.000,4,3
2017-06-24T02:00:00.000,14,9
